DateTime,Gold,Silver,Oil
2019-01-01,1281,15.54,46.54000092
2019-01-02,1291.8,15.71,47.09000015
2019-01-03,1282.7,15.69,47.95999908
2019-01-06,1286.8,15.67,48.52000046
2019-01-07,1283.2,15.63,49.77999878
2019-01-08,1289.3,15.65,52.36000061
2019-01-09,1284.7,15.56,52.59000015
2019-01-10,1287.1,15.58,51.59000015
2019-01-13,1289.1,15.61,50.50999832
2019-01-14,1286.2,15.55,52.11000061
2019-01-15,1291.6,15.56,52.31000137
2019-01-16,1291,15.47,52.06999969
2019-01-17,1281.3,15.33,53.79999924
2019-01-21,1282.5,15.26,52.56999969
2019-01-22,1283.1,15.32,52.61999893
2019-01-23,1279.1,15.24,53.13000107
2019-01-24,1297.4,15.64,53.68999863
2019-01-27,1302.4,15.71,51.99000168
2019-01-28,1308.2,15.79,53.31000137
2019-01-29,1309.9,15.88,54.22999954
2019-01-30,1319.7,16.02,53.79000092
2019-01-31,1316.9,15.88,55.25999832
2019-02-03,1314.3,15.84,54.56000137
2019-02-04,1314.2,15.79,53.65999985
2019-02-05,1309.5,15.66,54.00999832
2019-02-06,1309.4,15.68,52.63999939
2019-02-07,1313.7,15.77,52.72000122
2019-02-10,1307,15.66,52.40999985
2019-02-11,1309.2,15.66,53.09999847
2019-02-12,1310.8,15.62,53.90000153
2019-02-13,1309.8,15.5,54.40999985
2019-02-14,1318.1,15.72,55.59000015
2019-02-18,1340.1,15.95,56.09000015
2019-02-19,1343.3,16.16,56.91999817
2019-02-20,1323.5,15.79,56.95999908
2019-02-21,1329.2,15.91,57.25999832
2019-02-24,1325.9,15.82,55.47999954
2019-02-25,1325.1,15.83,55.5
2019-02-26,1317.7,15.67,56.93999863
2019-02-27,1312.8,15.54,57.22000122
2019-02-28,1296.4,15.17,55.79999924
2019-03-03,1284.8,15.02,56.59000015
2019-03-04,1282,15.02,56.56000137
2019-03-05,1284.9,15,56.22000122
2019-03-06,1283.8,14.96,56.65999985
2019-03-07,1297,15.27,56.06999969
2019-03-10,1288.8,15.2,56.79000092
2019-03-11,1296.3,15.34,56.86999893
2019-03-12,1307.5,15.38,58.25999832
2019-03-13,1293.4,15.1,58.61000061
2019-03-14,1301.8,15.25,58.52000046
2019-03-17,1300.3,15.25,59.09000015
2019-03-18,1305,15.3,59.02999878
2019-03-19,1300.5,15.24,59.83000183
2019-03-20,1306.1,15.37,59.97999954
2019-03-21,1311.6,15.35,59.04000092
2019-03-24,1321.9,15.51,58.81999969
2019-03-25,1314.3,15.37,59.93999863
2019-03-26,1309.9,15.24,59.40999985
2019-03-27,1289.8,14.92,59.29999924
2019-03-28,1293,15.06,60.13999939
2019-03-31,1288.4,15.05,61.59000015
2019-04-01,1290,15.02,62.58000183
2019-04-02,1289.9,15.06,62.45999908
2019-04-03,1289,15.04,62.09999847
2019-04-04,1290.4,15.04,63.08000183
2019-04-07,1297.1,15.17,64.40000153
